categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
332,259,Laredo,,,,5/9/2016 13:41,,,,,,,,,,7,,,Newest,Laredo,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Laredo',N,ALL WOMEN'S SHOES > Brands,,0,3
333,259,Lems,,,,6/22/2015 13:05,,,,,,,,,,7,,,,Lems,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Lems',Y,ALL WOMEN'S SHOES > Brands,,0,3
334,259,Life Stride,,,,6/22/2015 13:05,,,,,,,,,,7,,,,Life_Stride,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Life Stride',Y,ALL WOMEN'S SHOES > Brands,,0,3
335,259,Lola Sabbia,,,,6/22/2015 13:05,,,,,,,,,,7,,,,Lola_Sabbia,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Lola Sabbia',Y,ALL WOMEN'S SHOES > Brands,,0,3
336,259,Lucky Brand,,,,5/9/2016 13:42,,,,,,,,,,7,,,Newest,Lucky_Brand,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Lucky Brand',N,ALL WOMEN'S SHOES > Brands,,0,3
337,259,Madden Girl,,,,5/9/2016 13:43,,,,,,,,,,7,,,Newest,Madden_Girl,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Madden Girl',N,ALL WOMEN'S SHOES > Brands,,0,3
338,259,Minnetonka,,,,5/9/2016 13:44,,,,,,,,,,7,,,Newest,Minnetonka,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Minnetonka',N,ALL WOMEN'S SHOES > Brands,,0,3
339,259,Naot,,,,5/9/2016 13:45,,,,,,,,,,7,,,Newest,Naot,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Naot',N,ALL WOMEN'S SHOES > Brands,,0,3
340,259,Naturalizer,,,,5/9/2016 13:45,,,,,,,,,,7,,,Newest,Naturalizer,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Naturalizer',N,ALL WOMEN'S SHOES > Brands,,0,3
341,259,Nine West,,,,5/9/2016 13:46,,,,,,,,,,7,,,Newest,Nine_West,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Nine West',N,ALL WOMEN'S SHOES > Brands,,0,3
